# time x_sun y_sun x_mercury y_mercury x_venus y_venus x_earth y_earth x_mars y_mars x_jupiter y_jupiter x_neptune y_neptune x_uranus y_uranus x_neptune y_neptune energy_error
0.01001 9.67551e-08 1.07371e-09 0.286707 0.121823 0.714105 0.0743551 0.980954 0.0639287 1.38123 0.0559139 4.95318 0.0289299 29.7984 0.0115735 18.289 0.0150485 29.7984 0.0115735 -1.32954e-09
0.02001 3.85812e-07 8.37689e-09 0.22923 0.228063 0.702662 0.147843 0.974833 0.127528 1.37813 0.111688 4.95293 0.0578299 29.7984 0.0231354 18.289 0.0300819 29.7984 0.0231354 -1.163e-09
0.03001 8.65072e-07 2.73042e-08 0.145113 0.308234 0.683732 0.219757 0.964663 0.190598 1.37298 0.167296 4.95253 0.0867281 29.7984 0.0346972 18.289 0.0451153 29.7984 0.0346972 -9.70767e-10
0.04001 1.53189e-06 6.21512e-08 0.0463577 0.35804 0.657523 0.28933 0.95049 0.252876 1.36577 0.222654 4.95197 0.115623 29.7983 0.0462591 18.2889 0.0601486 29.7983 0.0462591 -8.01901e-10
0.05001 2.38361e-06 1.16334e-07 -0.0565179 0.378018 0.624317 0.355825 0.932374 0.314106 1.35654 0.277681 4.95124 0.144515 29.7983 0.057821 18.2889 0.075182 29.7983 0.057821 -6.70723e-10
0.06001 3.41777e-06 1.92731e-07 -0.155604 0.371348 0.584476 0.418538 0.910395 0.374034 1.34528 0.332294 4.95036 0.173402 29.7983 0.0693829 18.2888 0.0902152 29.7983 0.0693829 -5.72819e-10
0.07001 4.63208e-06 2.93929e-07 -0.245433 0.342223 0.53843 0.476807 0.884648 0.432414 1.33203 0.386415 4.94931 0.202283 29.7983 0.0809447 18.2887 0.105248 29.7983 0.0809447 -4.98819e-10
0.08001 6.02435e-06 4.22344e-07 -0.322395 0.29499 0.486675 0.530021 0.855244 0.489007 1.31681 0.439964 4.94811 0.231158 29.7982 0.0925066 18.2886 0.120282 29.7982 0.0925066 -4.40303e-10
0.09001 7.59241e-06 5.80266e-07 -0.384175 0.233773 0.429768 0.577624 0.82231 0.543581 1.29964 0.492864 4.94674 0.260025 29.7982 0.104068 18.2885 0.135315 29.7982 0.104068 -3.91096e-10
0.10001 9.33402e-06 7.69858e-07 -0.429327 0.162385 0.368319 0.619121 0.785989 0.595916 1.28057 0.54504 4.94521 0.288884 29.7982 0.11563 18.2884 0.150348 29.7982 0.11563 -3.47074e-10
0.11001 1.12469e-05 9.93133e-07 -0.456987 0.0843511 0.302984 0.654087 0.746435 0.6458 1.25962 0.596417 4.94352 0.317733 29.7981 0.127192 18.2883 0.165381 29.7981 0.127192 -3.05598e-10
0.12001 1.33287e-05 1.25193e-06 -0.466694 0.00299029 0.234458 0.682166 0.703818 0.693034 1.23684 0.646925 4.94167 0.346572 29.7981 0.138754 18.2882 0.180413 29.7981 0.138754 -2.65104e-10
0.13001 1.5577e-05 1.54788e-06 -0.458301 -0.0784869 0.163469 0.703075 0.658318 0.73743 1.21226 0.696494 4.93966 0.3754 29.798 0.150316 18.288 0.195446 29.798 0.150316 -2.24817e-10
